animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A795325,,21-05-2019 17:10,2019-05-21T17:10:00.000,2019-03-19T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Labrador Retriever,Black,
A778589,,26-09-2018 10:04,2018-09-26T10:04:00.000,2018-07-02T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,Foster
A734055,,01-09-2016 08:05,2016-09-01T08:05:00.000,2015-08-31T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat Mix,Brown,Rabies Risk
A709257,,07-08-2015 08:35,2015-08-07T08:35:00.000,2014-08-06T00:00:00.000,Euthanasia,Other,Unknown,1 year,Bat Mix,Black,Rabies Risk
A781976,Fancy,16-10-2018 14:25,2018-10-16T14:25:00.000,2017-10-08T00:00:00.000,Transfer,Dog,Intact Female,1 year,German Shepherd Mix,White,Partner
A751447,Bowser,16-06-2017 18:29,2017-06-16T18:29:00.000,2014-06-08T00:00:00.000,Adoption,Dog,Neutered Male,3 years,Beagle Mix,Brown/White,
A643424,Patches,30-10-2015 17:23,2015-10-30T17:23:00.000,2009-12-09T00:00:00.000,Return to Owner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White,
A791702,Cooper,04-04-2019 16:13,2019-04-04T16:13:00.000,2019-01-20T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White,
A727851,,26-05-2016 18:09,2016-05-26T18:09:00.000,2014-05-26T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat Mix,Brown/Black,Rabies Risk
A882859,A882859,13-06-2023 13:54,2023-06-13T13:54:00.000,2013-06-09T00:00:00.000,Transfer,Dog,Intact Male,10 years,Yorkshire Terrier,Black/Brown,Partner
A748126,,15-05-2017 15:40,2017-05-15T15:40:00.000,2016-04-29T00:00:00.000,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,Partner
A707363,Jaguar,12-09-2015 18:12,2015-09-12T18:12:00.000,2015-05-29T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,
A664941,Tequila,12-10-2013 18:14,2013-10-12T18:14:00.000,2009-10-11T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,Pit Bull Mix,Red/White,
A657197,Gecko,09-10-2013 13:15,2013-10-09T13:15:00.000,2013-05-12T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,
A801948,Boie,09-07-2021 13:24,2021-07-09T13:24:00.000,2019-02-12T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Australian Kelpie Mix,Brown Brindle/White,
A809230,Moo,24-11-2019 16:36,2019-11-24T16:36:00.000,2015-11-21T00:00:00.000,Adoption,Dog,Neutered Male,4 years,Siberian Husky,Gray/White,
A783412,Yams,16-12-2018 12:45,2018-12-16T12:45:00.000,2008-10-30T00:00:00.000,Adoption,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black,
A686459,Lovey,21-09-2014 17:39,2014-09-21T17:39:00.000,2014-07-15T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Foster
A742736,Astro,31-01-2017 17:02,2017-01-31T17:02:00.000,2016-05-01T00:00:00.000,Adoption,Dog,Neutered Male,9 months,Yorkshire Terrier/Miniature Poodle,Brown/Gray,
A727627,Cesar,26-05-2016 17:13,2016-05-26T17:13:00.000,2015-05-23T00:00:00.000,Return to Owner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White,
A790321,Prince,10-03-2019 17:37,2019-03-10T17:37:00.000,2010-03-10T00:00:00.000,Return to Owner,Dog,Intact Male,9 years,Miniature Schnauzer Mix,Black,
A679096,Copper,22-12-2015 11:50,2015-12-22T11:50:00.000,2007-05-16T00:00:00.000,Adoption,Dog,Neutered Male,8 years,Miniature Pinscher Mix,Red,Foster
A799580,Roger Rabbit,19-08-2019 19:09,2019-08-19T19:09:00.000,2019-05-10T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby/White,
A833513,Lemmy,13-05-2021 13:15,2021-05-13T13:15:00.000,2011-05-01T00:00:00.000,Transfer,Cat,Neutered Male,10 years,Domestic Shorthair,Brown Tabby,Partner
A716376,,17-12-2015 11:33,2015-12-17T11:33:00.000,2015-10-18T00:00:00.000,Adoption,Dog,Spayed Female,1 month,Boxer Mix,Red/White,Foster
A671125,,20-01-2014 18:32,2014-01-20T18:32:00.000,2013-11-03T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,
A755735,Baby,15-08-2017 11:46,2017-08-15T11:46:00.000,2013-08-08T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,Australian Cattle Dog,Blue Merle,
A697910,Boris,23-06-2015 13:38,2015-06-23T13:38:00.000,2013-03-03T00:00:00.000,Return to Owner,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Orange Tabby/White,
A687056,,31-08-2014 09:00,2014-08-31T09:00:00.000,2014-03-30T00:00:00.000,Transfer,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby,SCRP
A685566,,10-08-2014 19:11,2014-08-10T19:11:00.000,2014-06-09T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Catahoula/Pointer,Brown Merle/White,
A666111,Jerry,29-10-2013 18:47,2013-10-29T18:47:00.000,2013-07-29T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,
A827385,Mittens,27-01-2021 08:51,2021-01-27T08:51:00.000,2019-12-20T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby/White,Foster
A807106,Wendell,23-07-2020 17:46,2020-07-23T17:46:00.000,2019-03-20T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Standard Poodle,Silver,
A785591,Luke,09-03-2019 11:49,2019-03-09T11:49:00.000,2017-09-11T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown/White,
A707921,Debo,21-07-2015 15:01,2015-07-21T15:01:00.000,2011-08-14T00:00:00.000,Return to Owner,Dog,Intact Male,3 years,Pit Bull Mix,Red/White,
A718784,Marigold,12-01-2016 11:52,2016-01-12T11:52:00.000,2015-10-07T00:00:00.000,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,
A675548,,29-03-2014 08:42,2014-03-29T08:42:00.000,2014-03-01T00:00:00.000,Euthanasia,Other,Unknown,4 weeks,Bat,Brown/Black,Rabies Risk
A676323,,23-05-2014 12:24,2014-05-23T12:24:00.000,2014-03-21T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Tricolor,
A882858,A882858,13-06-2023 13:54,2023-06-13T13:54:00.000,2013-06-09T00:00:00.000,Transfer,Dog,Spayed Female,10 years,Yorkshire Terrier,Cream,Partner
A808862,Big Papi,18-11-2019 12:23,2019-11-18T12:23:00.000,2018-11-14T00:00:00.000,Transfer,Dog,Intact Male,1 year,Miniature Poodle Mix,Apricot,Partner
A707253,Goowa,29-01-2016 16:57,2016-01-29T16:57:00.000,2012-07-10T00:00:00.000,Transfer,Dog,Neutered Male,3 years,Pit Bull Mix,Apricot/Brown,Partner
A721165,Nelson,26-02-2016 21:13,2016-02-26T21:13:00.000,2015-02-22T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White,
A883073,,13-06-2023 14:27,2023-06-13T14:27:00.000,2023-05-13T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Black,Partner
A819227,Agou,30-06-2020 18:52,2020-06-30T18:52:00.000,2018-06-24T00:00:00.000,Rto-Adopt,Dog,Spayed Female,2 years,Great Pyrenees,White,
A685823,Walker,15-08-2014 17:17,2014-08-15T17:17:00.000,2011-08-13T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White,
A805622,Sadie,05-12-2019 12:02,2019-12-05T12:02:00.000,2018-03-29T00:00:00.000,Adoption,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan,
A651995,Sugar,02-07-2018 15:34,2018-07-02T15:34:00.000,2011-10-18T00:00:00.000,Adoption,Dog,Spayed Female,6 years,Staffordshire Mix,Brown/White,Foster
A769199,Sophia,03-04-2018 16:33,2018-04-03T16:33:00.000,2016-04-01T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Dachshund Mix,Black/Tan,
A824550,,16-10-2020 14:11,2020-10-16T14:11:00.000,2020-09-16T00:00:00.000,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue,Partner
A696539,Jasper,14-02-2015 16:36,2015-02-14T16:36:00.000,2014-11-06T00:00:00.000,Adoption,Dog,Neutered Male,3 months,Australian Cattle Dog Mix,Tan/White,
A791899,,05-04-2019 19:36,2019-04-05T19:36:00.000,2018-04-02T00:00:00.000,Transfer,Cat,Intact Female,1 year,Siamese Mix,Tortie Point,Snr
A725540,Tiny,02-05-2016 13:32,2016-05-02T13:32:00.000,2016-04-08T00:00:00.000,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,Partner
A782089,,10-10-2018 21:00,2018-10-10T21:00:00.000,2016-10-10T00:00:00.000,Euthanasia,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tan/Black,Suffering
A830483,,10-03-2021 12:31,2021-03-10T12:31:00.000,2020-03-10T00:00:00.000,Euthanasia,Cat,Intact Male,1 year,Domestic Shorthair,Seal Point,Suffering
A839198,A839198,06-08-2021 13:07,2021-08-06T13:07:00.000,2021-06-08T00:00:00.000,Adoption,Dog,Spayed Female,1 month,German Shepherd,Black/Tan,Foster
A739966,Skippyjohn,10-02-2017 07:34,2017-02-10T07:34:00.000,2016-11-09T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Siamese Mix,Seal Point,Foster
A808447,Elle,04-12-2019 14:45,2019-12-04T14:45:00.000,2019-05-08T00:00:00.000,Adoption,Dog,Intact Female,6 months,Labrador Retriever,Black,
A729355,Bridget,24-06-2016 14:31,2016-06-24T14:31:00.000,2016-02-11T00:00:00.000,Transfer,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/Brown Tabby,Partner
A788817,Latte,06-11-2021 11:55,2021-11-06T11:55:00.000,2018-04-09T00:00:00.000,Transfer,Dog,Spayed Female,3 years,Staffordshire Mix,Fawn/White,Partner
A679609,,23-05-2014 16:24,2014-05-23T16:24:00.000,2014-04-17T00:00:00.000,Transfer,Dog,Intact Female,1 month,Pit Bull Mix,Brown/White,Partner
A766831,Lucky,19-02-2018 12:30,2018-02-19T12:30:00.000,2016-02-17T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Great Pyrenees Mix,White/Black,
A706892,Penny,24-02-2016 18:32,2016-02-24T18:32:00.000,2012-07-05T00:00:00.000,Adoption,Dog,Spayed Female,3 years,German Shepherd Mix,Tan/Black,
A687681,,08-09-2014 18:53,2014-09-08T18:53:00.000,2014-09-03T00:00:00.000,Transfer,Cat,Unknown,5 days,Domestic Shorthair Mix,Blue Tabby,Partner
A726716,Montana,20-12-2016 09:59,2016-12-20T09:59:00.000,2015-05-13T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White,Foster
A692534,Lareine,28-11-2014 16:58,2014-11-28T16:58:00.000,2013-11-22T00:00:00.000,Adoption,Dog,Spayed Female,1 year,Queensland Heeler/Pointer,Blue Tick,
A767252,Amy,04-03-2019 19:15,2019-03-04T19:15:00.000,2010-01-26T00:00:00.000,Return to Owner,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Tricolor/White,
A781920,Binz,08-10-2018 11:17,2018-10-08T11:17:00.000,2016-10-08T00:00:00.000,Return to Owner,Dog,Neutered Male,2 years,American Bulldog Mix,White/Gray,
A764556,Cash,01-01-2018 16:43,2018-01-01T16:43:00.000,2011-05-22T00:00:00.000,Return to Owner,Dog,Intact Male,6 years,Labrador Retriever Mix,Black,
A666702,Farley,12-01-2015 14:17,2015-01-12T14:17:00.000,2013-03-06T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,Brown Brindle/White,
A889014,,16-09-2023 08:32,2023-09-16T08:32:00.000,2021-09-16T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat,Brown,Rabies Risk
A652101,Stella,06-01-2016 18:56,2016-01-06T18:56:00.000,2011-04-20T00:00:00.000,Return to Owner,Dog,Spayed Female,4 years,Pit Bull/Chow Chow,Tan/White,
A727902,Jake,06-06-2016 19:48,2016-06-06T19:48:00.000,2010-05-27T00:00:00.000,Adoption,Dog,Neutered Male,6 years,Pug Mix,Black/White,
A805553,,01-10-2019 17:17,2019-10-01T17:17:00.000,2019-05-28T00:00:00.000,Adoption,Dog,Spayed Female,4 months,Beagle/Dachshund,Black/Tricolor,
A810834,Amigo,14-01-2020 13:54,2020-01-14T13:54:00.000,2017-12-21T00:00:00.000,Transfer,Dog,Neutered Male,2 years,Pit Bull/Australian Cattle Dog,Chocolate/Tan,Partner
